홍수사상번호,시간,유입량,new
1,8,189.1,20060710
1,9,216.9519618,20060710
1,10,251.4244187,20060710
1,11,302.812199,20060710
1,12,384.7834064,20060710
1,13,512.5012279,20060710
1,14,701.5026217,20060710
1,15,952.5260535,20060710
1,16,1207.11602,20060710
1,17,1392.018525,20060710
1,18,1454.768513,20060710
1,19,1426.056687,20060710
1,20,1357.36269,20060710
1,21,1293.862205,20060710
1,22,1255.51507,20060710
1,23,1255.977162,20060710
1,24,1299.827525,20060710
1,1,1355.337857,20060711
1,2,1381.703021,20060711
1,3,1352.132424,20060711
1,4,1295.893649,20060711
1,5,1256.268823,20060711
1,6,1265.636588,20060711
1,7,1312.761633,20060711
1,8,1375.505161,20060711
1,9,1437.167338,20060711
1,10,1502.804186,20060711
1,11,1582.91069,20060711
1,12,1676.198585,20060711
1,13,1734.246617,20060711
1,14,1714.092218,20060711
1,15,1641.740554,20060711
1,16,1560.438727,20060711
1,17,1503.816413,20060711
1,18,1467.033586,20060711
1,19,1435.632793,20060711
1,20,1398.298088,20060711
1,21,1356.279548,20060711
1,22,1313.968753,20060711
1,23,1275.609823,20060711
1,24,1244.857022,20060711
1,1,1225.217152,20060712
1,2,1218.195158,20060712
1,3,1217.288567,20060712
1,4,1213.993045,20060712
1,5,1201.361104,20060712
1,6,1178.672607,20060712
1,7,1146.764262,20060712
1,8,1107.417108,20060712
1,9,1066.189518,20060712
1,10,1029.584203,20060712
1,11,1003.59915,20060712
1,12,992.2134611,20060712
1,13,995.5887004,20060712
1,14,1000.635155,20060712
1,15,990.9502939,20060712
1,16,957.4227731,20060712
1,17,920.1060007,20060712
1,18,906.3445727,20060712
1,19,941.8874633,20060712
1,20,1046.101159,20060712
1,21,1236.756525,20060712
1,22,1520.353654,20060712
1,23,1858.309549,20060712
1,24,2200.770442,20060712
1,1,2511.200044,20060713
1,2,2806.331985,20060713
1,3,3116.217372,20060713
1,4,3452.600134,20060713
1,5,3753.99548,20060713
1,6,3940.61144,20060713
1,7,3967.231759,20060713
1,8,3926.943038,20060713
1,9,3947.407595,20060713
1,10,4126.088131,20060713
1,11,4439.64889,20060713
1,12,4834.5545,20060713
1,13,5243.433493,20060713
1,14,5543.570004,20060713
1,15,5632.572322,20060713
1,16,5544.689743,20060713
1,17,5348.331817,20060713
1,18,5102.829996,20060713
1,19,4831.203347,20060713
1,20,4547.392841,20060713
1,21,4264.156381,20060713
1,22,3989.51959,20060713
1,23,3730.32502,20060713
1,24,3492.29881,20060713
1,1,3276.701446,20060714
1,2,3083.677002,20060714
1,3,2913.301703,20060714
1,4,2765.380394,20060714
1,5,2639.650075,20060714
1,6,2533.421938,20060714
1,7,2434.303935,20060714
1,8,2327.478212,20060714
1,9,2204.343678,20060714
1,10,2081.166295,20060714
1,11,1980.428786,20060714
1,12,1917.921884,20060714
1,13,1882.668349,20060714
1,14,1856.99895,20060714
1,15,1829.918822,20060714
1,16,1817.13056,20060714
1,17,1833.079388,20060714
1,18,1860.483572,20060714
1,19,1874.129638,20060714
1,20,1855.610625,20060714
1,21,1813.74562,20060714
1,22,1764.160221,20060714
1,23,1720.585244,20060714
1,24,1689.172367,20060714
1,1,1674.178489,20060715
1,2,1678.137501,20060715
1,3,1696.691286,20060715
1,4,1723.758722,20060715
1,5,1752.552366,20060715
1,6,1773.459484,20060715
1,7,1776.161022,20060715
1,8,1754.674031,20060715
1,9,1720.359987,20060715
1,10,1688.916475,20060715
1,11,1674.478443,20060715
1,12,1684.930304,20060715
1,13,1726.593837,20060715
1,14,1799.26964,20060715
1,15,1876.673598,20060715
1,16,1926.000417,20060715
1,17,1999.903357,20060715
1,18,2492.869896,20060715
1,19,3744.195564,20060715
1,20,5530.573882,20060715
1,21,7488.047869,20060715
1,22,9277.372727,20060715
1,23,10658.15238,20060715
1,24,11414.70295,20060715
1,1,11421.58913,20060716
1,2,10914.37006,20060716
1,3,10218.85346,20060716
1,4,9634.043068,20060716
1,5,9351.726692,20060716
1,6,9536.888156,20060716
1,7,10306.82928,20060716
1,8,11588.12383,20060716
1,9,13259.6636,20060716
1,10,15180.11774,20060716
1,11,17127.26494,20060716
1,12,18858.6613,20060716
1,13,20174.20355,20060716
1,14,21043.15105,20060716
1,15,21477.10381,20060716
1,16,21504.40226,20060716
1,17,21220.34846,20060716
1,18,20718.7612,20060716
1,19,20020.56473,20060716
1,20,19128.45963,20060716
1,21,18050.90878,20060716
1,22,16819.42433,20060716
1,23,15471.28072,20060716
1,24,14052.67539,20060716
1,1,12645.49781,20060717
1,2,11340.56043,20060717
1,3,10209.59216,20060717
1,4,9247.987689,20060717
1,5,8432.058148,20060717
1,6,7739.424592,20060717
1,7,7152.947762,20060717
1,8,6656.798321,20060717
1,9,6236.714553,20060717
1,10,5884.705227,20060717
1,11,5594.34673,20060717
1,12,5358.497749,20060717
1,13,5167.14616,20060717
1,14,5009.562135,20060717
1,15,4877.147403,20060717
1,16,4769.829906,20060717
1,17,4689.669141,20060717
1,18,4635.525424,20060717
1,19,4593.462339,20060717
1,20,4550.943123,20060717
1,21,4513.826347,20060717
1,22,4492.569416,20060717
1,23,4495.458857,20060717
1,24,4522.097697,20060717
1,1,4569.918084,20060718
1,2,4635.176268,20060718
1,3,4709.424905,20060718
1,4,4783.040753,20060718
1,5,4849.43107,20060718
1,6,4914.12512,20060718
1,7,4985.682671,20060718
1,8,5072.337093,20060718
1,9,5181.016169,20060718
1,10,5318.321285,20060718
1,11,5485.279964,20060718
1,12,5660.624275,20060718
1,13,5817.512421,20060718
1,14,5934.568725,20060718
1,15,6012.28199,20060718
1,16,6056.607138,20060718
1,17,6072.353858,20060718
1,18,6059.750906,20060718
1,19,6017.881808,20060718
1,20,5942.290677,20060718
1,21,5814.363983,20060718
1,22,5623.501978,20060718
1,23,5405.31769,20060718
1,24,5206.977343,20060718
1,1,5062.315361,20060719
1,2,4951.838972,20060719
1,3,4842.723605,20060719
1,4,4711.053643,20060719
1,5,4568.549295,20060719
1,6,4435.839728,20060719
1,7,4327.93577,20060719
1,8,4237.374915,20060719
1,9,4151.076318,20060719
1,10,4057.88599,20060719
1,11,3954.357349,20060719
1,12,3838.970667,20060719
1,13,3712.538026,20060719
1,14,3585.198754,20060719
1,15,3469.423987,20060719
1,16,3373.123471,20060719
1,17,3285.961383,20060719
2,24,323.9932666,20060725
2,1,323.1541383,20060726
2,2,293.2403128,20060726
2,3,261.1776776,20060726
2,4,256.3884027,20060726
2,5,279.3518813,20060726
2,6,319.8849692,20060726
2,7,354.0971495,20060726
2,8,363.6704345,20060726
2,9,366.2843275,20060726
2,10,381.6370858,20060726
2,11,401.5044924,20060726
2,12,412.0103746,20060726
2,13,404.5932134,20060726
2,14,373.1862929,20060726
2,15,316.3874571,20060726
2,16,240.8780902,20060726
2,17,181.0091767,20060726
2,18,166.299166,20060726
2,19,179.2667662,20060726
2,20,196.8294717,20060726
2,21,220.499666,20060726
2,22,252.1105763,20060726
2,23,270.1839179,20060726
2,24,257.205378,20060726
2,1,234.8280423,20060727
2,2,226.9954242,20060727
2,3,227.6453482,20060727
2,4,227.7229041,20060727
2,5,236.207931,20060727
2,6,259.5719429,20060727
2,7,276.2184014,20060727
2,8,266.3296492,20060727
2,9,245.2716026,20060727
2,10,233.6993571,20060727
2,11,238.2411505,20060727
2,12,261.0953686,20060727
2,13,300.7678466,20060727
2,14,350.1921619,20060727
2,15,383.7054115,20060727
2,16,378.6385249,20060727
2,17,342.8942437,20060727
2,18,295.1876479,20060727
2,19,266.911359,20060727
2,20,281.2130866,20060727
2,21,315.5833503,20060727
2,22,348.4434234,20060727
2,23,407.5947841,20060727
2,24,526.4366021,20060727
2,1,711.3786063,20060728
2,2,961.3497556,20060728
2,3,1272.345368,20060728
2,4,1634.165801,20060728
2,5,2014.765212,20060728
2,6,2423.819747,20060728
2,7,3059.7397,20060728
2,8,4066.954904,20060728
2,9,5185.239198,20060728
2,10,6094.171626,20060728
2,11,6637.208051,20060728
2,12,6750.333742,20060728
2,13,6575.774762,20060728
2,14,6282.734169,20060728
2,15,5942.082186,20060728
2,16,5600.405223,20060728
2,17,5305.487236,20060728
2,18,5099.528712,20060728
2,19,5001.198688,20060728
2,20,5032.944622,20060728
2,21,5255.859106,20060728
2,22,5681.877038,20060728
2,23,6087.657409,20060728
2,24,6239.639908,20060728
2,1,6098.662915,20060729
2,2,5706.999567,20060729
2,3,5238.263323,20060729
2,4,4871.484066,20060729
2,5,4676.017047,20060729
2,6,4710.62863,20060729
2,7,5101.40426,20060729
2,8,5905.210531,20060729
2,9,6834.719532,20060729
2,10,7558.072984,20060729
2,11,7909.485615,20060729
2,12,7818.601665,20060729
2,13,7430.710414,20060729
2,14,6928.135126,20060729
2,15,6425.689982,20060729
2,16,5993.694874,20060729
2,17,5592.001649,20060729
2,18,5172.359719,20060729
2,19,4764.576811,20060729
2,20,4406.145812,20060729
2,21,4087.241935,20060729
2,22,3793.165584,20060729
2,23,3537.035585,20060729
2,24,3331.977677,20060729
2,1,3163.326817,20060730
2,2,3010.974073,20060730
2,3,2860.825742,20060730
3,17,221.050131,2007083
3,18,209.9806227,2007083
3,19,200.3431661,2007083
3,20,192.3595756,2007083
3,21,185.3640845,2007083
3,22,178.5951288,2007083
3,23,171.8530416,2007083
3,24,165.2942756,2007083
3,1,159.1661743,2007084
3,2,153.8496211,2007084
3,3,149.853507,2007084
3,4,148.0652141,2007084
3,5,149.5454635,2007084
3,6,155.6698433,2007084
3,7,168.1144548,2007084
3,8,189.4425861,2007084
3,9,221.4961625,2007084
3,10,262.3444714,2007084
3,11,309.4154423,2007084
3,12,361.3442105,2007084
3,13,416.9136332,2007084
3,14,474.2902475,2007084
3,15,532.3304131,2007084
3,16,593.2660985,2007084
3,17,659.6292737,2007084
3,18,731.7763037,2007084
3,19,809.431484,2007084
3,20,891.9664351,2007084
3,21,979.3979909,2007084
3,22,1074.676514,2007084
3,23,1180.901824,2007084
3,24,1298.838041,2007084
3,1,1429.29736,2007085
3,2,1575.61999,2007085
3,3,1741.588108,2007085
3,4,1930.223748,2007085
3,5,2142.9818,2007085
3,6,2375.808706,2007085
3,7,2621.980591,2007085
3,8,2869.600756,2007085
3,9,3105.020971,2007085
3,10,3312.759716,2007085
3,11,3478.231719,2007085
3,12,3592.26999,2007085
3,13,3648.191784,2007085
3,14,3645.109618,2007085
3,15,3588.371991,2007085
3,16,3485.142589,2007085
3,17,3344.739565,2007085
3,18,3177.233757,2007085
3,19,2993.552304,2007085
3,20,2804.16229,2007085
3,21,2616.834286,2007085
3,22,2438.2522,2007085
3,23,2273.449797,2007085
3,24,2126.566223,2007085
3,1,1999.812287,2007086
3,2,1894.826086,2007086
3,3,1812.883211,2007086
3,4,1755.108243,2007086
3,5,1722.384234,2007086
3,6,1715.203129,2007086
3,7,1732.733969,2007086
3,8,1773.748348,2007086
3,9,1836.750983,2007086
3,10,1918.938334,2007086
3,11,2012.540734,2007086
3,12,2108.835788,2007086
3,13,2200.256335,2007086
3,14,2279.664519,2007086
3,15,2340.484465,2007086
3,16,2377.050684,2007086
3,17,2386.777247,2007086
3,18,2368.924937,2007086
3,19,2327.061816,2007086
3,20,2265.686854,2007086
3,21,2188.715378,2007086
3,22,2100.010977,2007086
3,23,2003.813929,2007086
3,24,1904.130724,2007086
3,1,1803.656004,2007087
4,15,161.8030021,20070914
4,16,157.7736563,20070914
4,17,162.3439824,20070914
4,18,177.3780303,20070914
4,19,199.5069696,20070914
4,20,227.2489559,20070914
4,21,270.7900716,20070914
4,22,343.7446849,20070914
4,23,457.2975767,20070914
4,24,605.245612,20070914
4,1,776.137626,20070915
4,2,955.4295546,20070915
4,3,1131.43378,20070915
4,4,1306.981368,20070915
4,5,1487.475305,20070915
4,6,1677.511506,20070915
4,7,1894.323885,20070915
4,8,2154.983137,20070915
4,9,2462.211337,20070915
4,10,2816.800245,20070915
4,11,3217.29935,20070915
4,12,3628.436475,20070915
4,13,4006.237633,20070915
4,14,4307.400101,20070915
4,15,4497.32612,20070915
4,16,4575.566521,20070915
4,17,4550.733571,20070915
4,18,4436.458311,20070915
4,19,4258.582512,20070915
4,20,4043.842905,20070915
4,21,3810.869616,20070915
4,22,3577.54273,20070915
4,23,3362.958713,20070915
4,24,3171.930357,20070915
5,21,251.5147715,20080723
5,22,148.5859561,20080723
5,23,100.9294941,20080723
5,24,108.4648947,20080723
5,1,147.5161486,20080724
5,2,180.3982328,20080724
5,3,178.8399119,20080724
5,4,166.2341136,20080724
5,5,168.9387673,20080724
5,6,173.5076452,20080724
5,7,162.0690369,20080724
5,8,138.8534587,20080724
5,9,112.8660548,20080724
5,10,90.10825447,20080724
5,11,78.57788931,20080724
5,12,97.26211326,20080724
5,13,157.1121833,20080724
5,14,225.9464454,20080724
5,15,271.1795944,20080724
5,16,301.7446296,20080724
5,17,343.7893764,20080724
5,18,450.8026595,20080724
5,19,680.2067334,20080724
5,20,1077.816573,20080724
5,21,1694.428284,20080724
5,22,2612.369766,20080724
5,23,3825.5198,20080724
5,24,4942.428906,20080724
5,1,5605.389258,20080725
5,2,5976.987937,20080725
5,3,6321.860435,20080725
5,4,6792.540981,20080725
5,5,7455.894141,20080725
5,6,8148.207072,20080725
5,7,8668.508173,20080725
5,8,8897.368225,20080725
5,9,8786.533449,20080725
5,10,8490.909462,20080725
5,11,8179.993024,20080725
5,12,7878.486072,20080725
5,13,7572.840174,20080725
5,14,7241.300252,20080725
5,15,6873.530762,20080725
5,16,6513.080956,20080725
5,17,6205.783698,20080725
5,18,5952.721533,20080725
5,19,5731.67524,20080725
5,20,5471.968871,20080725
5,21,5117.49587,20080725
5,22,4718.883982,20080725
5,23,4343.268367,20080725
5,24,4017.079532,20080725
5,1,3746.819821,20080726
5,2,3499.98358,20080726
5,3,3244.981914,20080726
5,4,2992.900956,20080726
5,5,2763.356536,20080726
5,6,2567.408251,20080726
5,7,2410.180091,20080726
5,8,2281.609845,20080726
5,9,2171.381264,20080726
5,10,2083.34815,20080726
5,11,2019.315843,20080726
5,12,1958.72579,20080726
5,13,1880.147132,20080726
5,14,1781.023685,20080726
5,15,1669.760275,20080726
5,16,1579.731104,20080726
5,17,1543.527813,20080726
5,18,1565.642427,20080726
5,19,1627.755014,20080726
5,20,1648.397442,20080726
5,21,1561.644478,20080726
5,22,1426.890707,20080726
5,23,1318.038898,20080726
5,24,1241.704726,20080726
5,1,1189.240347,20080727
5,2,1158.230918,20080727
5,3,1140.212072,20080727
5,4,1096.288343,20080727
5,5,999.3907502,20080727
5,6,900.1873386,20080727
5,7,853.4795044,20080727
5,8,852.8650157,20080727
5,9,875.5506025,20080727
5,10,894.3824687,20080727
5,11,888.7734437,20080727
5,12,868.7633847,20080727
5,13,848.2442953,20080727
5,14,825.8897378,20080727
5,15,799.0692742,20080727
5,16,775.1549078,20080727
5,17,761.6419704,20080727
5,18,756.5166679,20080727
6,1,127.1241537,2009079
6,2,139.2332224,2009079
6,3,148.5297862,2009079
6,4,156.2462312,2009079
6,5,163.7363349,2009079
6,6,173.9043832,2009079
6,7,195.7353076,2009079
6,8,233.5940494,2009079
6,9,267.2849448,2009079
6,10,280.6194903,2009079
6,11,293.7807355,2009079
6,12,320.2282657,2009079
6,13,366.1212858,2009079
6,14,425.2882545,2009079
6,15,489.5490341,2009079
6,16,555.0198458,2009079
6,17,616.3536513,2009079
6,18,662.0652971,2009079
6,19,694.1774077,2009079
6,20,721.7365884,2009079
6,21,765.84024,2009079
6,22,850.6495511,2009079
6,23,1000.530065,2009079
6,24,1236.335056,2009079
6,1,1564.664357,20090710
6,2,1978.504394,20090710
6,3,2423.840768,20090710
6,4,2809.406521,20090710
6,5,3054.77219,20090710
6,6,3150.060783,20090710
6,7,3108.734631,20090710
6,8,2967.060876,20090710
6,9,2762.464089,20090710
6,10,2519.251522,20090710
6,11,2277.417761,20090710
6,12,2073.295243,20090710
6,13,1908.336693,20090710
6,14,1774.928201,20090710
6,15,1664.069015,20090710
6,16,1567.791851,20090710
6,17,1483.650129,20090710
6,18,1409.526411,20090710
6,19,1341.073423,20090710
6,20,1280.79003,20090710
6,21,1230.630227,20090710
6,22,1182.471359,20090710
7,19,568.9238628,20090711
7,20,553.6106253,20090711
7,21,546.7974791,20090711
7,22,544.8794667,20090711
7,23,544.1099533,20090711
7,24,546.9731082,20090711
7,1,556.5679969,20090712
7,2,572.2224658,20090712
7,3,593.1157999,20090712
7,4,622.8152595,20090712
7,5,670.5263463,20090712
7,6,744.4898573,20090712
7,7,844.243775,20090712
7,8,968.3790466,20090712
7,9,1120.401296,20090712
7,10,1312.907709,20090712
7,11,1589.94704,20090712
7,12,2001.511667,20090712
7,13,2583.204095,20090712
7,14,3341.85639,20090712
7,15,4262.343617,20090712
7,16,5268.564006,20090712
7,17,6271.270496,20090712
7,18,7189.611692,20090712
7,19,7952.061807,20090712
7,20,8516.001832,20090712
7,21,8846.862737,20090712
7,22,8923.665921,20090712
7,23,8767.445196,20090712
7,24,8414.791141,20090712
7,1,7923.332261,20090713
7,2,7352.283001,20090713
7,3,6746.163635,20090713
7,4,6141.5595,20090713
7,5,5558.010357,20090713
7,6,5012.103415,20090713
7,7,4523.073588,20090713
7,8,4101.114008,20090713
7,9,3750.205556,20090713
7,10,3459.830733,20090713
7,11,3217.42675,20090713
7,12,3016.748058,20090713
7,13,2852.28475,20090713
7,14,2715.152261,20090713
7,15,2596.557068,20090713
7,16,2491.320763,20090713
7,17,2394.704737,20090713
7,18,2302.615099,20090713
7,19,2214.031742,20090713
7,20,2128.64166,20090713
7,21,2045.88647,20090713
8,24,1793.964445,20090713
8,1,1717.112856,20090714
8,2,1655.287274,20090714
8,3,1601.007629,20090714
8,4,1545.352888,20090714
8,5,1488.075293,20090714
8,6,1431.028705,20090714
8,7,1375.800179,20090714
8,8,1325.734638,20090714
8,9,1286.97854,20090714
8,10,1249.515979,20090714
8,11,1203.351601,20090714
8,12,1156.559204,20090714
8,13,1125.981224,20090714
8,14,1145.465522,20090714
8,15,1245.323508,20090714
8,16,1425.948267,20090714
8,17,1684.876623,20090714
8,18,2009.878584,20090714
8,19,2344.725348,20090714
8,20,2642.90759,20090714
8,21,2940.792695,20090714
8,22,3293.389873,20090714
8,23,3733.869336,20090714
8,24,4239.205586,20090714
8,1,4775.524782,20090715
8,2,5319.678072,20090715
8,3,5847.45562,20090715
8,4,6319.678669,20090715
8,5,6692.656167,20090715
8,6,6926.537155,20090715
8,7,7008.382005,20090715
8,8,6936.052725,20090715
8,9,6722.936469,20090715
8,10,6390.758616,20090715
8,11,5979.072281,20090715
8,12,5532.400033,20090715
8,13,5092.489185,20090715
8,14,4682.298298,20090715
8,15,4317.334304,20090715
8,16,4002.598904,20090715
9,15,1011.388849,20090717
9,16,992.2074657,20090717
9,17,978.29188,20090717
9,18,972.8107179,20090717
9,19,961.4946858,20090717
9,20,931.5382125,20090717
9,21,893.4285332,20090717
9,22,861.7525196,20090717
9,23,844.2027822,20090717
9,24,842.509504,20090717
9,1,843.029036,20090718
9,2,834.2053407,20090718
9,3,811.129757,20090718
9,4,789.1566562,20090718
9,5,784.0472968,20090718
9,6,792.9274546,20090718
9,7,811.9301568,20090718
9,8,851.8529192,20090718
9,9,925.94804,20090718
9,10,1042.62246,20090718
9,11,1201.148689,20090718
9,12,1369.106864,20090718
9,13,1509.337227,20090718
9,14,1597.412786,20090718
9,15,1621.790822,20090718
9,16,1609.732932,20090718
9,17,1594.843469,20090718
9,18,1597.293493,20090718
9,19,1632.385873,20090718
9,20,1709.38401,20090718
9,21,1825.064653,20090718
9,22,1937.354621,20090718
9,23,2013.432705,20090718
9,24,2035.479233,20090718
9,1,2025.451929,20090719
9,2,2011.819297,20090719
9,3,2009.315563,20090719
9,4,2030.869644,20090719
9,5,2095.923501,20090719
9,6,2217.430677,20090719
9,7,2375.878001,20090719
9,8,2541.584301,20090719
9,9,2676.663091,20090719
9,10,2749.695773,20090719
9,11,2763.3406,20090719
9,12,2729.214801,20090719
9,13,2660.694659,20090719
9,14,2570.854088,20090719
9,15,2469.798449,20090719
9,16,2366.26121,20090719
9,17,2266.456789,20090719
9,18,2173.406635,20090719
9,19,2082.18168,20090719
9,20,1994.498945,20090719
9,21,1913.238919,20090719
9,22,1836.72665,20090719
9,23,1763.922719,20090719
9,24,1700.885263,20090719
9,1,1651.881062,20090720
9,2,1606.913891,20090720
9,3,1555.630466,20090720
9,4,1500.512255,20090720
9,5,1447.623204,20090720
9,6,1404.522423,20090720
9,7,1376.975253,20090720
9,8,1362.076784,20090720
9,9,1348.856116,20090720
9,10,1302.74865,20090720
10,19,95.41328155,20090810
10,20,85.19842085,20090810
10,21,76.31374114,20090810
10,22,69.13642863,20090810
10,23,64.1580986,20090810
10,24,61.55451331,20090810
10,1,60.1235939,20090811
10,2,58.4111556,20090811
10,3,55.33243103,20090811
10,4,49.84637493,20090811
10,5,40.71741321,20090811
10,6,27.60296005,20090811
10,7,13.92691157,20090811
10,8,3.541153465,20090811
10,9,3.8,20090811
10,10,4.2,20090811
10,11,4.682136074,20090811
10,12,14.33465859,20090811
10,13,26.47244744,20090811
10,14,40.15255098,20090811
10,15,56.29903687,20090811
10,16,76.05213475,20090811
10,17,99.5497027,20090811
10,18,125.294817,20090811
10,19,146.2537977,20090811
10,20,155.9711984,20090811
