code,target,totpop,region,proplive,sub,bus,numpark,totrent,a15,a20,a30,a40,a50,a60,a70,a80,a100,proprent,numpark_fam,type,pub10,pub50,pub99,gukmin,forever,sanga,happy,A,C,D,E,FMO,G,HI,J,K,L,N,fee_deposit,fee_rent
C2515,205,545,2,0.968807339,0,3,624,545,0,0,0.653211009,0.104587156,0.242201835,0,0,0,0,1,1.144954128,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18433000,149760
C1407,1064,1216,6,0.989309211,1,1,1285,1216,0,0,0.320723684,0.577302632,0.101973684,0,0,0,0,1,1.056743421,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27637000,164610
C1470,553,696,11,0.979885057,0,2,645,696,0,0,0.364942529,0.281609195,0.353448276,0,0,0,0,1,0.926724138,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16821500,117145
C1898,415,566,11,0.98409894,0,6,517,566,0,0,0.478798587,0.369257951,0.151943463,0,0,0,0,1,0.913427562,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16821500,117145
C1244,1804,1722,1,0.994192799,0,10,1483,1722,0,0,0.457607433,0.315911731,0.226480836,0,0,0,0,1,0.861207898,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,43990000,304540
C1171,700,624,6,0.979166667,0,5,634,624,0,0,0.567307692,0.368589744,0.064102564,0,0,0,0,1,1.016025641,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,35462000,189130
C2073,301,361,0,0.96398892,0,5,288,361,0,0,0.465373961,0.423822715,0.110803324,0,0,0,0,1,0.797783934,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16821000,205460
C2513,820,754,4,0.980106101,0,6,530,754,0,0,0,0,1,0,0,0,0,1,0.702917772,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32443000,192250
C1936,234,240,4,0.966666667,0,10,168,240,0,0,0,0,1,0,0,0,0,1,0.7,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32443000,192250
C2049,841,688,0,1,0,5,631,688,0,0,0,0,1,0,0,0,0,1,0.917151163,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15407000,88400
C2202,226,623,0,1,0,2,222,623,0,0,0.142857143,0.857142857,0,0,0,0,0,1,0.356340289,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10244000,152280
C1925,75,601,0,0.985024958,0,4,117,600,0,0.495840266,0.500831947,0,0,0,0.001663894,0,0,0.998336106,0.194675541,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8687000,137655
C2576,73,405,2,0.95308642,0,4,296,405,0,0,0,0.772839506,0.227160494,0,0,0,0,1,0.730864198,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23844000,198600
C1312,359,518,13,0.976833977,0,3,527,517,0,0,0.287644788,0.71042471,0,0,0,0,0,0.998069498,1.017374517,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18707000,126575
C1874,62,619,13,0.996768982,0,2,97,619,0.004846527,0.741518578,0.243941842,0.004846527,0.004846527,0,0,0,0,1,0.156704362,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,7062500,85355
C2650,159,875,7,0.985142857,0,4,616,875,0,0,0.636571429,0.363428571,0,0,0,0,0,1,0.704,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14215000,141630
C2416,63,560,2,1,0,5,154,560,0.001785714,0.644642857,0.346428571,0.003571429,0.001785714,0,0,0,0.001785714,1,0.275,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8830500,115910
C2013,91,595,2,0.994957983,0,3,509,594,0,0,0.549579832,0.448739496,0,0,0,0,0,0.998319328,0.855462185,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13930000,37360
C1424,179,625,6,0.9968,0,7,517,624,0,0,0.4288,0.5696,0,0,0,0,0,0.9984,0.8272,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20173000,225100
C2100,671,880,6,0.995454545,0,5,736,880,0,0,0,0,1,0,0,0,0,1,0.836363636,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25096000,100365
C2621,133,1396,6,0.981375358,1,4,277,1396,0,0.767191977,0.219197708,0,0.01217765,0.000716332,0,0,0.000716332,1,0.198424069,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,10514000,130715
C2520,386,970,6,0.997938144,0,2,420,960,0,0,0.989690722,0,0,0,0,0,0,0.989690722,0.432989691,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13155000,177500
C2319,266,606,6,0.998349835,1,12,548,605,0,0,0,0,0.998349835,0,0,0,0,0.998349835,0.904290429,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17414000,236590
C1616,98,1507,6,0.99933643,0,2,407,1507,0,0.390179164,0.307232913,0.298606503,0.00199071,0,0.00066357,0,0.00132714,1,0.270072993,1,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0,15418000,90995
C1704,131,639,6,0.946791862,0,7,162,639,0,0,0.998435055,0,0,0,0,0,0.001564945,1,0.253521127,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8625000,136630
C2258,78,965,6,0.986528497,0,3,287,965,0.003108808,0.61761658,0.190673575,0.186528497,0.001036269,0,0,0,0.001036269,1,0.297409326,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5850500,84750
C1032,316,946,6,0.993657505,1,2,986,946,0,0,0.071881607,0.072938689,0.855179704,0,0,0,0,1,1.042283298,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,28714000,187260
C2038,108,785,6,0.991082803,1,10,150,785,0.003821656,0.759235669,0.119745223,0.114649682,0.001273885,0,0,0,0.001273885,1,0.191082803,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5850500,79980
C1859,116,2424,6,0.999587459,1,4,487,2424,0,0.777640264,0.208333333,0,0.012788779,0,0.000412541,0,0.000825083,1,0.200907591,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,34967000,195660
C1722,649,809,0,0.998763906,0,6,264,809,0,0.184177998,0.300370828,0.51421508,0,0,0.001236094,0,0,1,0.326328801,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,9984000,138130
C1850,254,388,2,1,0,4,226,385,0,0,0.229381443,0.762886598,0,0,0,0,0,0.992268041,0.582474227,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14418000,244420
C2190,129,1013,2,0.993089832,0,2,178,1013,0.0029615,0.846001974,0.149062192,0.001974334,0,0,0,0,0,1,0.175715696,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,4032000,79980
C1476,70,453,2,0.986754967,0,5,107,453,0,0.657836645,0.33995585,0,0,0,0.002207506,0,0,1,0.236203091,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8454000,113335
C1077,236,861,2,0.975609756,0,5,612,861,0,0,0.299651568,0.321718931,0.378629501,0,0,0,0,1,0.710801394,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19973000,147300
C1068,510,806,13,0.986352357,0,2,804,805,0,0,0.40942928,0.476426799,0.112903226,0,0,0,0,0.998759305,0.99751861,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16853500,137320
C1983,253,903,13,0.996677741,0,4,200,903,0,0.529346622,0.468438538,0,0,0.00110742,0,0,0.00110742,1,0.221483942,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,9714000,142850
C2135,127,1116,7,0.991039427,1,3,262,1116,0.002688172,0.592293907,0.403225806,0,0.000896057,0,0,0,0.000896057,1,0.234767025,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5787000,89365
C2034,132,1486,7,0.998654105,1,3,405,1486,0.002018843,0.487213997,0.508748318,0,0.000672948,0,0.000672948,0,0.000672948,1,0.272543742,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,12015000,124390
C1109,313,1957,7,0.999489014,1,2,351,1957,0,0.767501277,0.23147675,0,0.000510986,0,0,0,0.000510986,1,0.179356157,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,9000000,106130
C1497,382,802,7,0.99127182,1,14,375,802,0,0,1,0,0,0,0,0,0,1,0.467581047,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13253500,168575
C2289,364,1527,7,0.998690242,0,3,240,1527,0,0.635232482,0.360183366,0,0.003274394,0,0.000654879,0,0.000654879,1,0.157170923,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,10813000,84510
C2597,94,1005,7,0.975124378,0,2,166,1005,0.002985075,0.753233831,0.237810945,0.00199005,0.002985075,0,0,0,0.000995025,1,0.165174129,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,15315000,87485
C2310,189,1988,7,0.999496982,0,2,217,1988,0,0.840040241,0.156438632,0,0.002515091,0,0.000503018,0,0.000503018,1,0.10915493,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,11819000,81130
C1672,873,1350,7,0.988888889,0,1,1043,1350,0,0,0,0,1,0,0,0,0,1,0.772592593,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18717500,229825
C2132,359,2428,7,0.999588138,0,1,756,282,0.002059308,0.004118616,0.106260297,0.000411862,0.002059308,0,0.000411862,0,0.000823723,0.116144975,0.311367381,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,16800000,87610
C1439,172,1755,7,0.983475783,1,3,270,1755,0.005698006,0.848433048,0.074643875,0.06951567,0,0.000569801,0,0,0.001139601,1,0.153846154,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,14616000,78665
C1613,498,840,7,0.991666667,1,1,594,840,0,0,0,0,1,0,0,0,0,1,0.707142857,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20345000,257630
C2216,149,390,13,0.994871795,0,1,97,390,0,0,1,0,0,0,0,0,0,1,0.248717949,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9447000,132910
C1899,31,451,2,1,0,4,109,451,0,0.66075388,0.33924612,0,0,0,0,0,0,1,0.241685144,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8142500,85380
C1056,125,410,12,1,0,10,120,410,0,0.487804878,0.512195122,0,0,0,0,0,0,1,0.292682927,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8166500,117270
C2644,177,779,13,0.991014121,0,12,190,778,0,0.498074454,0.496790757,0.003851091,0,0,0,0,0,0.998716303,0.243902439,1,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,11879000,127670
C1206,90,755,0,0.998675497,0,4,88,488,0,0.316556291,0.327152318,0,0,0.001324503,0,0,0.001324503,0.646357616,0.116556291,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,9134000,117270
C2481,302,693,9,0.997113997,0,2,486,693,0,0,0.627705628,0.372294372,0,0,0,0,0,1,0.701298701,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13221000,101390
C1718,496,753,9,0.969455511,0,2,682,753,0,0,0,0.751660027,0.248339973,0,0,0,0,1,0.905710491,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,27465500,218475
C1655,236,498,0,0.953815261,0,6,402,498,0,0,0.176706827,0.53815261,0.285140562,0,0,0,0,1,0.807228916,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19973000,132320
C1430,839,1533,7,0.979125897,0,3,1296,1533,0,0,0,0,1,0,0,0,0,1,0.845401174,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31835000,185990
C1775,96,711,12,0.992967651,0,8,131,711,0,0.506329114,0.492264416,0,0,0,0,0,0.00140647,1,0.184247539,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,7204000,141000
C1519,235,420,12,1,0,0,393,420,0,0,0.6,0.4,0,0,0,0,0,1,0.935714286,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15472000,94375
C2221,359,590,12,0.998305085,0,3,376,590,0,0,0,1,0,0,0,0,0,1,0.637288136,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15406500,246675
C1790,120,657,2,0.99695586,0,4,166,657,0.00608828,0.397260274,0.590563166,0.00152207,0.00152207,0,0,0.00152207,0.00152207,1,0.252663623,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8133000,98750
C2109,60,495,2,0.995959596,0,4,117,495,0,0.581818182,0.416161616,0,0,0,0,0,0.002020202,1,0.236363636,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8200000,110000
C1698,65,460,2,0.997826087,0,3,155,460,0,0,1,0,0,0,0,0,0,1,0.336956522,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,12864000,156705
C1866,135,338,2,0.99704142,0,3,235,338,0,0,0.683431953,0.316568047,0,0,0,0,0,1,0.695266272,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11421000,102215
C1005,376,1144,13,0.986013986,0,8,950,1144,0,0,0,0,1,0,0,0,0,1,0.83041958,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16348000,210900
C1004,93,521,13,0.994241843,0,2,153,521,0.005758157,0.015355086,0.975047985,0,0.001919386,0,0,0,0.001919386,1,0.293666027,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,5787000,89220
C1875,209,1003,13,0.995014955,0,8,192,1003,0.002991027,0.843469591,0.151545364,0,0.000997009,0,0,0,0.000997009,1,0.191425723,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,9483000,78990
C2156,204,306,13,1,0,1,246,305,0,0,0.784313725,0,0.212418301,0,0,0,0,0.996732026,0.803921569,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11147000,90410
C2212,86,697,0,1,0,4,128,697,0,0.427546628,0.56527977,0,0,0.005738881,0,0,0.00143472,1,0.183644189,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,8929000,144820
C2401,19,213,0,0.901408451,0,3,164,213,0,0,0.305164319,0.488262911,0.20657277,0,0,0,0,1,0.769953052,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,25964000,72660
C2571,62,481,2,0.98960499,0,1,65,481,0,0.972972973,0.024948025,0,0,0,0,0,0.002079002,1,0.135135135,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,6931000,92900
C1175,430,468,13,0.967948718,0,2,477,468,0,0,0,0.423076923,0.576923077,0,0,0,0,1,1.019230769,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26258000,160100
C1833,1001,1364,12,0.986070381,0,5,1505,1364,0,0,0.58797654,0.250733138,0.161290323,0,0,0,0,1,1.103372434,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15620000,123750
C2445,334,800,14,0.98,0,4,671,800,0,0,0.6525,0.16875,0.17875,0,0,0,0,1,0.83875,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15620000,141770
C1885,616,830,10,0.98313253,0,4,802,830,0,0,0.6,0.4,0,0,0,0,0,1,0.96626506,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14418000,100920
C2368,548,775,10,0.987096774,0,4,738,775,0,0,0.6,0,0.4,0,0,0,0,1,0.952258065,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14418000,100920
C2016,220,261,14,0.942528736,0,2,198,261,0,0,0.490421456,0.509578544,0,0,0,0,0,1,0.75862069,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12234000,103875
C2371,451,474,3,0.957805907,0,1,374,474,0,0,0.556962025,0.345991561,0.097046414,0,0,0,0,1,0.789029536,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17302000,108130
C2536,47,72,11,0.902777778,0,1,54,72,0,0,0.666666667,0.333333333,0,0,0,0,0,1,0.75,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9074000,50400
C2538,799,1473,1,0.991174474,0,3,1299,1473,0,0.127630686,0.479293958,0.200950441,0.192124915,0,0,0,0,1,0.881873727,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,39668000,311110
C1014,708,996,11,0.99497992,0,2,823,996,0,0,0.518072289,0.281124498,0.200803213,0,0,0,0,1,0.826305221,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21628000,150190
C1592,739,870,0,0.985057471,0,5,763,870,0,0,0.606896552,0.236781609,0.156321839,0,0,0,0,1,0.877011494,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12387000,172190
C1867,374,678,2,0.961651917,0,2,579,678,0,0,0.669616519,0.123893805,0.206489676,0,0,0,0,1,0.853982301,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9972000,100920
C2326,557,632,14,0.976265823,0,4,478,632,0,0,0.724683544,0.275316456,0,0,0,0,0,1,0.756329114,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13216000,114140
C1015,579,961,7,0.970863684,0,3,928,961,0,0,0.494276795,0.395421436,0.110301769,0,0,0,0,1,0.96566077,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15583000,140810
C1620,1101,1232,4,0.982142857,0,4,1181,1232,0,0,0.575487013,0.424512987,0,0,0,0,0,1,0.958603896,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,25233000,141770
C1049,762,676,4,0.973372781,0,3,658,676,0,0,0.575443787,0,0.424556213,0,0,0,0,1,0.973372781,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,31242000,175410
C2000,795,1300,2,0.983846154,0,2,1082,1300,0,0,0.346153846,0.538461538,0.115384615,0,0,0,0,1,0.832307692,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19225000,169420
C2097,995,998,3,0.970941884,0,2,1240,998,0,0,0.552104208,0.359719439,0.088176353,0,0,0,0,1,1.24248497,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16737000,110790
C1668,288,493,10,0.985801217,0,4,421,493,0,0,0.448275862,0.30831643,0.243407708,0,0,0,0,1,0.853955375,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9611000,75690
C1689,960,1117,1,0.996418979,1,3,985,1117,0,0.166517457,0.397493286,0.303491495,0.132497762,0,0,0,0,1,0.881826321,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,42909000,291970
C1234,311,307,0,0.996742671,0,2,219,307,0,0,0,0,1,0,0,0,0,1,0.713355049,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23830000,153765
C2514,648,501,2,0.98003992,0,1,405,501,0,0,0,0.447105788,0.552894212,0,0,0,0,1,0.808383234,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15483500,149870
C1368,861,896,3,0.967633929,0,10,900,896,0,0,0.196428571,0.200892857,0.602678571,0,0,0,0,1,1.004464286,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20847500,176635
C1057,521,521,3,0.953934741,0,4,521,521,0,0,0.257197697,0.259117083,0.483685221,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,20847500,176635
C2336,562,458,3,0.971615721,0,2,399,458,0,0,0.375545852,0.502183406,0.122270742,0,0,0,0,1,0.871179039,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19787000,134300
C1026,422,290,3,0.965517241,0,2,205,290,0,0,0,0,1,0,0,0,0,1,0.706896552,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24147500,109280
C2256,344,409,2,0.982885086,0,1,316,409,0,0.215158924,0.320293399,0.322738386,0.141809291,0,0,0,0,1,0.772616137,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15590000,136710
C1900,596,586,11,0.996587031,0,2,472,586,0,0,0.402730375,0.351535836,0.245733788,0,0,0,0,1,0.805460751,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17477000,106090
C2666,701,1084,7,0.978782288,0,1,837,1084,0,0,0.422509225,0.577490775,0,0,0,0,0,1,0.772140221,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18890500,133145
C2361,1117,1174,1,0.992333901,0,4,1026,1174,0,0,0.359454855,0.325383305,0.31516184,0,0,0,0,1,0.873935264,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,37454000,259660
C1642,297,270,10,0.948148148,0,6,222,270,0,0,0.444444444,0.555555556,0,0,0,0,0,1,0.822222222,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17477000,107200
C1013,1665,1308,4,0.987767584,0,6,1119,1308,0,0,0.222477064,0.578746177,0.198776758,0,0,0,0,1,0.855504587,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24665000,135960
C2232,248,355,4,0.963380282,0,3,354,355,0,0,0.321126761,0.270422535,0.408450704,0,0,0,0,1,0.997183099,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22297000,121945
C1973,457,384,4,0.9609375,0,3,384,384,0,0,0.21875,0,0.78125,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19819000,110110
C2458,910,853,4,0.967174678,0,3,853,853,0,0,0,0.645955451,0.354044549,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,78080000,40670
C2574,826,996,4,0.985943775,0,6,895,996,0,0,0.445783133,0.391566265,0.162650602,0,0,0,0,1,0.898594378,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26217000,142310
