code,tot_pop,region,num_empty,sub,bus,num_park,type_new,prop_type_im1,prop_type_im2,prop_type_im3,prop_type_im4,prop_type_im5,prop_type_im6,prop_type_im7,prop_type_im8,prop_type_im9,prop_type_im10,prop_areaL21,prop_areaL29,prop_areaL36,prop_areaL39,prop_areaL46,prop_areaL59,prop_areaU59,prop_type_qual1,prop_type_qual2,prop_type_qual3,prop_type_qual4,prop_type_qual5,prop_type_qual6,prop_type_qual7,prop_type_qual8,prop_type_qual9,prop_type_qual10,prop_type_qual11,prop_type_qual12,prop_type_qual13,prop_type_qual14,Mlog_fee_deposit,Mlog_fee_rent,target
C2515,545,3,17,0,3,624,0,0,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0.285714286,0.285714286,0.285714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.72965309,11.91678929,205
C1407,1216,7,13,1,1,1285,0,0,0,0,0,0,1,0,0,0,0,0,0,0.272727273,0,0.545454545,0.181818182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.13466601,12.01133432,1064
C1945,755,2,6,1,3,734,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16.95703006,12.17163647,730
C1470,696,13,14,0,2,645,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.25,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59558288,11.66288519,553
C1898,566,13,9,0,6,517,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.333333333,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.59558288,11.66288519,415
C1244,1722,2,10,0,10,1483,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.307692308,0.461538462,0.230769231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.59947289,12.62655772,1804
C1171,624,7,13,0,5,634,0,0,0,0,0,0,1,0,0,0,0,0,0,0.083333333,0.25,0.5,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.38397226,12.15018989,700
C2073,361,1,13,0,5,288,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.5,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.63813866,12.23300665,301
C2513,754,5,15,0,6,530,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29499526,12.16655189,820
C1936,240,5,8,0,10,168,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.29499526,12.16655189,234
C2049,688,1,0,0,5,631,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.55033251,11.38962725,841
C2202,623,1,0,0,2,222,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14220273,11.93347621,226
C1925,601,1,9,0,4,117,1,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0.166666667,0.666666667,0,0,0,0.166666667,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,16.52900513,11.9929024,75
C2576,405,3,19,0,4,296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.96965619,12.18155955,73
C1312,518,15,12,0,3,527,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74218165,11.74799532,359
C1874,619,15,2,0,2,97,1,0,0,0,0,0,0,0.1,0.9,0,0,0.233333333,0.466666667,0.1,0,0.1,0.1,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,16.68491908,11.76877107,62
C2650,875,8,13,0,4,616,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4698083,11.8609733,159
C2416,560,3,0,0,5,154,1,0,0,0,0,0,0,0.2,0.8,0,0,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,16.7162044,11.87080476,63
C2013,595,3,3,0,3,509,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.44955535,10.52835589,91
C1424,625,7,2,0,7,517,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.81985563,12.32430003,179
C2100,880,7,4,0,5,736,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.03200528,11.51035382,671
C2621,1396,7,26,1,4,277,1,0,0,0,0,0,0,0.444444444,0.555555556,0,0,0,0.222222222,0.5,0,0,0.166666667,0.111111111,0,0,0.444444444,0.555555556,0,0,0,0,0,0,0,0,0,0,16.60457768,11.63751161,133
C2520,970,7,2,0,2,420,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39231247,12.08672589,386
C2319,606,7,1,1,12,548,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6727849,12.37408384,266
C1616,1507,7,1,0,2,407,1,0,0,0,0,0,0,0.136363636,0.863636364,0,0,0,0.045454545,0.045454545,0.590909091,0.045454545,0.136363636,0.136363636,0,0,0.090909091,0.863636364,0.045454545,0,0,0,0,0,0,0,0,0,16.88538456,11.8532809,98
C1704,639,7,34,0,7,162,1,0,0,0,0,0,0,0.117647059,0.882352941,0,0,0,0,0.823529412,0.117647059,0,0,0.058823529,0,0,0.117647059,0.882352941,0,0,0,0,0,0,0,0,0,0,16.67639629,11.93478872,131
C2258,965,7,13,1,3,287,1,0,0,0,0,0,0,0.15,0.85,0,0,0.5,0.1,0.2,0.05,0.05,0.05,0.05,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,16.7351806,11.9680253,78
C1032,946,7,6,1,2,986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.166666667,0.166666667,0.666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.17289537,12.1402533,316
C2038,785,7,7,1,10,150,1,0,0,0,0,0,0,0.15,0.85,0,0,0.5,0.1,0.2,0.05,0.05,0.05,0.05,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,16.57619817,11.94375964,108
C1859,2200,7,1,1,4,487,1,0,0,0,0,0,0,0.125,0.875,0,0,0,0.075,0.375,0.325,0,0.15,0.075,0,0,0.125,0.875,0,0,0,0,0,0,0,0,0,0,16.55561895,11.99312401,116
C1722,809,1,1,0,6,264,1,0,0,0.272727273,0,0,0,0.181818182,0.545454545,0,0,0,0.090909091,0.545454545,0.090909091,0.181818182,0,0.090909091,0.272727273,0,0.181818182,0.545454545,0,0,0,0,0,0,0,0,0,0,16.71363,12.15077133,649
C1850,388,3,0,0,4,226,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.48398798,12.40664334,254
C2190,1013,3,7,0,2,178,1,0,0,0,0,0,0,0.19047619,0.80952381,0,0,0.476190476,0.285714286,0.095238095,0.047619048,0.095238095,0,0,0,0,0.19047619,0.80952381,0,0,0,0,0,0,0,0,0,0,16.48398798,11.7851639,129
C1476,453,3,6,0,5,107,1,0,0,0,0,0,0,0.25,0.75,0,0,0,0.125,0.75,0,0,0,0.125,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,16.72664839,11.88103233,70
C1077,861,3,21,0,5,612,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.80989192,11.9002266,236
C1068,806,15,11,0,2,804,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.5,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.63385839,11.8259156,510
C1983,903,15,3,0,4,200,1,0,0,0.2,0,0,0,0.133333333,0.666666667,0,0,0,0.066666667,0.733333333,0.066666667,0,0,0.133333333,0.2,0,0.133333333,0.666666667,0,0,0,0,0,0,0,0,0,0,16.70810207,11.88648702,253
C2135,1116,8,10,1,3,262,1,0,0,0,0,0,0,0.15,0.85,0,0,0.5,0.2,0.15,0.05,0,0.05,0.05,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,16.75413963,11.89517287,127
C2034,1486,8,2,1,3,405,1,0,0,0,0,0,0,0.103448276,0.896551724,0,0,0.344827586,0.137931034,0.379310345,0.034482759,0,0.034482759,0.068965517,0,0,0.103448276,0.896551724,0,0,0,0,0,0,0,0,0,0,16.62008233,11.80395194,132
C1109,1957,8,1,1,2,351,1,0,0,0,0,0,0,0.090909091,0.909090909,0,0,0.363636364,0.227272727,0.272727273,0.045454545,0,0.045454545,0.045454545,0,0,0.090909091,0.909090909,0,0,0,0,0,0,0,0,0,0,16.82116557,11.71622985,313
C1497,802,8,7,1,14,375,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39951512,12.03495187,382
C2289,1527,8,2,0,3,240,1,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0.083333333,0.083333333,0.541666667,0,0.208333333,0.083333333,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,16.62157301,11.81075511,364
C2597,1005,8,25,0,2,166,1,0,0,0,0,0,0,0.09375,0.90625,0,0,0.25,0.53125,0.03125,0,0.0625,0.09375,0.03125,0,0,0.09375,0.90625,0,0,0,0,0,0,0,0,0,0,16.86754791,11.86407375,94
C2310,1988,8,1,0,2,217,1,0,0,0,0,0,0,0.130434783,0.869565217,0,0,0,0.086956522,0.043478261,0.565217391,0,0.217391304,0.086956522,0,0,0.130434783,0.869565217,0,0,0,0,0,0,0,0,0,0,16.80053571,11.83703589,189
C1672,1350,8,15,0,1,1043,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74254986,12.34248802,873
C2132,2200,8,1,0,1,756,1,0,0,0,0,0,0,0.085106383,0.914893617,0,0,0.234042553,0.127659574,0.170212766,0.276595745,0.021276596,0.106382979,0.063829787,0,0,0.021276596,0.914893617,0,0.063829787,0,0,0,0,0,0,0,0,16.48398798,11.70412417,359
C1439,1755,8,29,1,3,270,1,0,0,0,0,0,0,0.0625,0.9375,0,0,0.458333333,0.166666667,0.25,0,0.0625,0,0.0625,0,0,0.0625,0.9375,0,0,0,0,0,0,0,0,0,0,16.72143422,11.87060112,172
C1613,840,8,7,1,1,594,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.82834574,12.45927973,498
C2216,390,15,2,0,1,97,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.06119593,11.79742225,149
C1899,451,3,0,0,4,109,1,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,16.95892149,11.89722336,31
C1056,410,14,0,0,10,120,1,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0.083333333,0.916666667,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,16.53473871,12.26690528,125
C2644,779,15,7,1,12,190,1,0,0,0.285714286,0,0,0,0.285714286,0.428571429,0,0,0,0.285714286,0,0.285714286,0.428571429,0,0,0.285714286,0,0.285714286,0.428571429,0,0,0,0,0,0,0,0,0,0,16.29028269,11.86576306,177
C1206,755,1,1,0,4,88,1,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0.083333333,0.75,0,0,0,0.166666667,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,16.60041597,11.60082217,90
C2481,693,11,2,0,2,486,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39731703,11.52672975,302
C1718,753,11,23,0,2,682,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.12429304,12.28411437,496
C1655,498,1,23,0,6,402,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.5,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.80989192,11.79293389,236
C1430,1533,8,32,0,3,1296,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.26656541,12.12030288,839
C1775,711,14,5,0,8,131,1,0,0,0,0,0,0,0.117647059,0.882352941,0,0,0,0.058823529,0.882352941,0,0,0,0.058823529,0,0,0.117647059,0.882352941,0,0,0,0,0,0,0,0,0,0,16.71555758,11.64351503,96
C1519,420,14,0,0,0,393,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.55065277,11.44371996,235
C2221,590,14,1,0,3,376,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.55029978,12.41582683,359
C1790,657,3,2,0,4,166,1,0,0,0,0,0,0,0.090909091,0.909090909,0,0,0.303030303,0.515151515,0.060606061,0,0.03030303,0.03030303,0.060606061,0,0,0.090909091,0.909090909,0,0,0,0,0,0,0,0,0,0,16.78961053,11.95008302,120
C2109,495,3,2,0,4,117,1,0,0,0,0,0,0,0.117647059,0.882352941,0,0,0,0.058823529,0.882352941,0,0,0,0.058823529,0,0,0.117647059,0.882352941,0,0,0,0,0,0,0,0,0,0,16.95668427,12.0923999,60
C1698,460,3,1,0,3,155,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,16.36994327,11.99553678,65
C1866,338,3,1,0,3,235,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.24594004,11.51960264,135
C1005,1144,15,16,0,8,950,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.60961612,12.25913937,376
C1004,521,15,3,0,2,153,1,0,0,0,0,0,0,0.105263158,0.894736842,0,0,0.526315789,0.052631579,0.157894737,0.157894737,0,0.052631579,0.052631579,0,0,0.105263158,0.894736842,0,0,0,0,0,0,0,0,0,0,16.75994954,11.69407967,93
C1875,1003,15,5,0,8,192,1,0,0,0,0,0,0,0.136363636,0.863636364,0,0,0.545454545,0.181818182,0.136363636,0.045454545,0,0.045454545,0.045454545,0,0,0.136363636,0.863636364,0,0,0,0,0,0,0,0,0,0,16.90215236,11.79410892,209
C2156,306,15,0,0,1,246,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.22668096,11.41211016,204
C2212,697,1,0,0,4,128,1,0,0,0,0,0,0,0.214285714,0.785714286,0,0,0,0.071428571,0.571428571,0,0,0,0.357142857,0,0,0.214285714,0.785714286,0,0,0,0,0,0,0,0,0,0,16.49438573,11.77484668,86
C2401,213,1,21,0,3,164,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,17.07222152,11.19354631,19
C2571,481,3,5,0,1,65,1,0,0,0,0,0,0,0.071428571,0.928571429,0,0,0,0.071428571,0.857142857,0,0,0,0.071428571,0,0,0.071428571,0.928571429,0,0,0,0,0,0,0,0,0,0,16.85586578,11.84349656,62
C1175,468,15,15,0,2,477,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.08348126,11.9835539,430
C1833,1364,14,19,0,5,1505,0,0,0,0,0,0,1,0,0,0,0,0,0,0.285714286,0.285714286,0.285714286,0.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5640627,11.72601868,1001
C2445,800,16,16,0,4,671,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.5640627,11.86196131,334
C1885,830,12,14,0,4,802,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.625,0.375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.48398798,11.5220834,616
C2368,775,12,10,0,4,738,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.875,0,0.125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.48398798,11.5220834,548
C2016,261,16,15,0,2,198,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.28870028,11.52561791,220
C2371,474,4,20,0,1,374,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.375,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.66633266,11.59108949,451
C2536,72,13,7,0,1,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0.666666667,0,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.02092374,10.82774645,47
C2538,1473,2,13,0,3,1299,0,0,0,0,0,0,1,0,0,0,0,0,0.052631579,0.210526316,0.157894737,0.210526316,0.368421053,0,0.473684211,0,0,0,0,0,0.421052632,0.105263158,0,0,0,0,0,0,17.49605538,12.64790183,799
C1014,996,13,5,0,2,823,0,0,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0,0.428571429,0.428571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.88949933,11.91965644,708
C1592,870,1,13,0,5,763,0,0,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0.428571429,0.285714286,0.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.33215809,12.0563538,739
C1867,678,3,26,0,2,579,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0.166666667,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.11529172,11.5220834,374
C2326,632,16,15,0,4,478,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.39693877,11.64518104,557
C1015,961,8,28,0,3,928,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.375,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.56169113,11.85516674,579
C1620,1232,5,22,0,4,1181,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.04366322,11.86196131,1101
C1049,676,5,18,0,3,658,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2572739,12.07488137,762
C2000,1300,3,21,0,2,1082,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.428571429,0.428571429,0.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77172207,12.04013612,795
C2097,998,4,29,0,2,1240,0,0,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0.428571429,0.285714286,0.142857143,0,0.714285714,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,16.6331324,11.6153918,995
C1668,493,12,7,0,4,421,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.571428571,0.285714286,0.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16.07841883,11.23440133,288
