"code","tot_pop","region","num_empty","sub","bus","num_park","type_new","prop_type_im1","prop_type_im2","prop_type_im3","prop_type_im4","prop_type_im5","prop_type_im6","prop_type_im7","prop_type_im8","prop_type_im9","prop_type_im10","prop_type_qual1","prop_type_qual2","prop_type_qual3","prop_type_qual4","prop_type_qual5","prop_type_qual6","prop_type_qual7","prop_type_qual8","prop_type_qual9","prop_type_qual10","prop_type_qual11","prop_type_qual12","prop_type_qual13","prop_type_qual14","prop_areaL21","prop_areaL29","prop_areaL36","prop_areaL39","prop_areaL46","prop_areaL59","prop_areaU59","M_fee_deposit","M_fee_rent","target"
"C1000",0.21243115656963,1,10,0,0.0666666666666667,0.238095238095238,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0.285714286,0.285714286,0,0.0573481786161738,0.110613921534651,481
"C1004",0.194728560188828,0.933333333333333,3,0,0.133333333333333,0.0784313725490196,1,0,0,0,0,0,0,0.105263158,0.894736842,0,0,0,0,0.105263158,0.894736842,0,0,0,0,0,0,0,0,0,0,0.526315789,0.052631579,0.157894737,0.157894737,0,0.052631579,0.052631579,0.0935631042715647,0.10064521389911,93
"C1004",0.194728560188828,0.933333333333333,3,0,0.133333333333333,0.0784313725490196,1,0,0,0,0,0,0,0.105263158,0.894736842,0,0,0,0,0.105263158,0.894736842,0,0,0,0,0,0,0,0,0,0,0.526315789,0.052631579,0.157894737,0.157894737,0,0.052631579,0.052631579,0.0935631042715647,0.10064521389911,93
"C1005",0.439811172305271,0.933333333333333,16,0,0.533333333333333,0.524929971988796,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0726662411649292,0.193441854301936,376
"C1013",0.504327301337529,0.266666666666667,16,0,0.4,0.619607843137255,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.6,0.2,0,0.13820138839641,0.11705586757316,1665
"C1014",0.381589299763965,0.8,5,0,0.133333333333333,0.453781512605042,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0.428571429,0.428571429,0,0.114270855494882,0.131560439112398,708
"C1015",0.367820613690008,0.466666666666667,28,0,0.2,0.512605042016807,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.25,0,0.066638299884169,0.12199944958056,579
"C1017",0.564122738001574,0.4,27,0,0.133333333333333,0.852100840336134,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0.0636046300892766,0.210841224377465,1246
"C1022",0.142800944138474,0.0666666666666667,4,0,0.266666666666667,0.189915966386555,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.13820138839641,0.204735645774512,450
"C1024",0.257277734067663,0.533333333333333,2,0,0.2,0.484033613445378,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.9,0.788206510176583,1,957
"C1026",0.103855232100708,0.2,10,0,0.133333333333333,0.107563025210084,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.134123663412366,0.0898610700561632,422
"C1027",0.167584579071597,0.133333333333333,21,0,0.333333333333333,0.250980392156863,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.6,0,0,0.155426329101955,0.290835516324014,207
"C1032",0.36191974822974,0.4,6,0.333333333333333,0.133333333333333,0.545098039215686,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.166666667,0.666666667,0,0.170106139044512,0.169345714373082,316
"C1039",0.300550747442958,0.533333333333333,13,0,0.2,0.369747899159664,0,0,0,0,0,0,0.545454545,0.181818182,0,0.272727273,0,0.818181818,0,0,0,0,0,0,0,0.181818182,0,0,0,0,0,0,0.181818182,0.090909091,0.272727273,0.181818182,0.272727273,0,0.109511539764713,0.174431997716779,645
"C1045",0.172305271439811,0,13,0,0.133333333333333,0.15406162464986,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0,0.25,0.25,0,0,0.0518008967055134,0.131366773013139,266
"C1046",0.0810385523210071,0,9,0,0.266666666666667,0.101960784313725,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0,0.333333333,0,0.0512099220701447,0.142599406770159,156
"C1048",0.134539732494099,0.0666666666666667,15,0,0.2,0.179271708683473,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0.187551710280595,0.221452088026339,243
"C1049",0.255704169944925,0.266666666666667,18,0,0.2,0.361344537815126,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.6,0,0.190025924087338,0.157267065550878,762
"C1056",0.151062155782848,0.866666666666667,0,0,0.666666666666667,0.0599439775910364,1,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.916666667,0,0,0,0,0.0636440283983011,0.19594932063971,125
"C1057",0.194728560188828,0.2,24,0,0.266666666666667,0.284593837535014,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.5,0,0.108120779456146,0.158515702243469,521
"C1059",0.191974822974036,0.8,7,0,0.533333333333333,0.195518207282913,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.0774413162187079,0.0838778068843202,246
"C1065",0.358772619984264,0.2,37,0,0.2,0.618487394957983,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.333333333,0,0.333333333,0,0,0.0204319630601455,0.150366436645703,1255
"C1068",0.30684500393391,0.933333333333333,11,0,0.133333333333333,0.443137254901961,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.5,0.166666667,0,0.0766494102073139,0.11844210912575,510
"C1077",0.328481510621558,0.133333333333333,21,0,0.333333333333333,0.335574229691877,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0.101230015207747,0.128614675813143,236
"C1084",0.0999213217938631,0.2,2,0,0.133333333333333,0.149579831932773,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0.0707436036845299,0.0904318754013475,226
"C1085",0.196302124311566,0.0666666666666667,4,0,0.133333333333333,0.229131652661064,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.0681590746125176,0.114660523713904,521
"C1089",0.134539732494099,0.733333333333333,14,0,0.133333333333333,0.152380952380952,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0.0562450259634856,0.101491228964294,309
"C1102",0.195121951219512,0,21,0,0.466666666666667,0.286834733893557,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0.080498624999015,0.190598020528607,417
"C1103",0.357592446892211,0,31,0,0.133333333333333,0.518767507002801,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0.0667013371786083,0.203155738122662,787
"C1109",0.75963808025177,0.466666666666667,1,0.333333333333333,0.133333333333333,0.189355742296919,1,0,0,0,0,0,0,0.090909091,0.909090909,0,0,0,0,0.090909091,0.909090909,0,0,0,0,0,0,0,0,0,0,0.363636364,0.227272727,0.272727273,0.045454545,0,0.045454545,0.045454545,0.10309355522461,0.103382021670217,313
"C1122",0.307631785995279,0.333333333333333,7,0.666666666666667,0.133333333333333,0.400560224089636,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.428571429,0.571428571,0,0,0.133694221843998,0.146421763992376,1077
"C1129",0.557828481510622,0.0666666666666667,2,0.333333333333333,0.666666666666667,0.707002801120448,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.37039138280185,0.509015666568135,1668
"C1131",0.344217151848938,0.266666666666667,10,0,0.466666666666667,0.366946778711485,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.10652514794065,0.169753432476786,1019
"C1133",0.326514555468135,0.8,10,0,0.2,0.428011204481793,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0.333333333,0.333333333,0.166666667,0,0.119542349242371,0.111036929067243,842
"C1136",0.376868607395751,0.0666666666666667,31,0,1,0.477310924369748,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.25,0,0.25,0.25,0.25,0,0.506532239636275,0.0900037713924593,763
"C1141",0.237608182533438,0.133333333333333,28,0,0.133333333333333,0.349579831932773,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0.0534477460227407,0.0790055755450681,620
"C1143",0.262391817466562,0.0666666666666667,3,0.333333333333333,0.733333333333333,0.394397759103641,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0.0640143725031322,0.146860060953857,632
"C1155",0.137293469708891,0.4,9,0.333333333333333,0.666666666666667,0.247058823529412,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.207408458028981,0.174177173901964,373
"C1156",0.384736428009441,1,47,0,0.2,0.384873949579832,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.25,0.5,0,0.25,0,0,0,0.47744446808343,0.0144230279184972,505
"C1163",0.114083398898505,0.2,20,0,0.133333333333333,0.126610644257703,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0.0187535950956985,0.18317755104121,326
"C1171",0.235247836349331,0.4,13,0,0.333333333333333,0.347899159663866,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.25,0.5,0.166666667,0,0.223278096904081,0.171251796507894,700
"C1173",0.214398111723053,0.933333333333333,7,0,0.133333333333333,0.263305322128852,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0.555555556,0.222222222,0,0.0914040769370179,0.13117310691388,609
"C1175",0.173878835562549,0.933333333333333,15,0,0.133333333333333,0.259943977591036,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0.15075368965164,0.141661655131642,430
"C1176",0.574350904799371,1,55,0,0.2,0.829131652661064,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0,0.5,0.25,0,0,0.0867865951193375,0.161201545251613,619
"C1177",0.64594807238395,0.4,17,0.333333333333333,0.666666666666667,0.976470588235294,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1875,0.4375,0.1875,0.1875,0,0.139068151194951,0.153984934816068,1044
"C1180",0.113296616837136,0.8,15,0,0.0666666666666667,0.127731092436975,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0761411720208969,0.0738071697228536,311
"C1184",0.169944925255704,0.0666666666666667,4,0,0.2,0.218487394957983,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.285714286,0.428571429,0.285714286,0,0.218140557407276,0.241104100624828,488
"C1194",0.190794649881983,0.866666666666667,3,0,0.266666666666667,0.224089635854342,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0933109550938074,0.19243275199527,585
"C1206",0.286782061369001,0,1,0,0.266666666666667,0.0420168067226891,1,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,0,0.083333333,0.75,0,0,0,0.166666667,0.0717837190427787,0.0897795264354225,90
"C1207",0.029110936270653,0.266666666666667,10,0,0.4,0.02296918767507,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.666666667,0,0,0.333333333,0,0,0,0.123757968308,0.0987085529065204,59
"C1210",0.417781274586939,0.333333333333333,39,0,0.266666666666667,0.425770308123249,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.6,0.2,0,0.2,0,0,0,0.106800936103822,0.0926437461139368,586
"C1213",0.112509834775767,0.8,8,0,0.4,0.118207282913165,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.0687224704315691,0.0719724382561897,148
"C1227",0.30684500393391,0.133333333333333,7,0,0.0666666666666667,0.388795518207283,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0.222222222,0.333333333,0.222222222,0,0.199489397915041,0.247923185909262,823
"C1234",0.110542879622345,0,1,0,0.133333333333333,0.115406162464986,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.131621870789306,0.135204419664244,311
"C1236",0.431943351691581,0.0666666666666667,29,0,0.133333333333333,0.625210084033613,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.75,0,0,0.118565271178561,0.132498190750915,657
"C1244",0.667191188040913,0.0666666666666667,10,0,0.666666666666667,0.823529411764706,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692308,0.461538462,0.230769231,0,0.290475852776399,0.288888662378831,1804
"C1258",0.320220298977183,0.133333333333333,0,0,0.2,0.361344537815126,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0,0.333333333,0.333333333,0,0.166666667,0.166666667,0,0,0.0200616189553144,0.108942277309468,616
"C1263",0.0952006294256491,1,4,0,0.333333333333333,0.112605042016807,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0.2,0,0,0.000614613620783396,0.105598988859103,217
"C1268",0.396931549960661,0.0666666666666667,21,0,1,0.503081232492997,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0.0870623832825095,0.176949657007145,934
"C1269",0.210464201416208,0.0666666666666667,1,0,0.2,0.313165266106443,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.5,0.25,0,0.101072421971649,0.175379942307888,643
"C1281",0.24390243902439,0.8,4,0,0.2,0.319327731092437,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.4,0.4,0,0,0.080498624999015,0.0857838890191322,484
"C1284",0.197482297403619,0.133333333333333,0,0,0.333333333333333,0.296918767507003,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.203058884712668,0.16708287889753,780
"C1286",0.351298190401259,0.733333333333333,27,0,0.133333333333333,0.546218487394958,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.225153456413651,0.579856687086548,881
"C1301",0.123524783634933,0.333333333333333,19,0,0.266666666666667,0.171988795518207,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,0.0266962941950531,0.127024575208701,202
"C1307",0.18882769472856,0.0666666666666667,9,0,0.2,0.236974789915966,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.375,0.375,0,0.194690683875848,0.224051290937446,504
"C1309",0.140440597954367,0.733333333333333,15,0,0.266666666666667,0.208403361344538,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0.571428571,0.285714286,0,0.0914040769370179,0.0811053237791391,446
"C1310",0.39771833202203,0,17,0,0.4,0.517086834733894,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111,0,0.333333333,0.222222222,0.333333333,0,0.130495079151203,0.186561611301946,1084
"C1312",0.193548387096774,0.933333333333333,12,0,0.2,0.287955182072829,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0.0912543633627245,0.107489781565026,359
"C1316",0.0318646734854445,0.933333333333333,7,0,0.133333333333333,0.00784313725490196,0,0,0,0,0,0,1,0,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0.156945527897943,0.0685272202798985,22
"C1319",0.184893784421715,0.133333333333333,16,0,0.0666666666666667,0.23249299719888,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0.333333333,0.166666667,0.333333333,0,0.0520451662214658,0.103799932726513,398
"C1320",0.656963021243116,0.133333333333333,35,0,0.266666666666667,0.915966386554622,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.25,0,0.5,0,0,0.0761096533736772,0.220045460568563,924
"C1326",0.750590086546027,0.466666666666667,43,0,0.266666666666667,0.928291316526611,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.2,0,0.2,0.2,0,0,0.127997226359045,0.186806242164168,1153
"C1328",0.380015735641227,0.0666666666666667,36,0,1,0.480672268907563,0,0,0,0,0,0,1,0,0,0,0,0.454545455,0,0,0,0.545454545,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0.363636364,0.363636364,0.181818182,0,0.918650371526054,0.055174452383622,770
"C1329",0.383949645948072,0.466666666666667,30,0,0.133333333333333,0.426890756302521,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0.375,0.25,0,0.0962658282706506,0.125434474604259,554
"C1338",0.234461054287962,0.466666666666667,13,0.333333333333333,0.2,0.30140056022409,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.2,0,0.17122505102081,0.224693446950778,551
"C1340",0.206923682140047,0.8,21,0,0.2,0.285714285714286,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0.2,0,0,0.0167127626882254,0.162302384131611,410
"C1341",0.352478363493312,0.266666666666667,7,0,0.0666666666666667,0.402240896358543,0,0,0,0,0,0,0.777777778,0.222222222,0,0,0,0.777777778,0,0,0,0,0,0,0,0.222222222,0,0,0,0,0,0.222222222,0,0,0.666666667,0.111111111,0,0,0.0458675113664122,0.142874616490159,442
"C1343",0.225806451612903,0.0666666666666667,8,0.333333333333333,0.266666666666667,0.288515406162465,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0.139375458005342,0.204959890731548,549
"C1344",0.156569630212431,0.533333333333333,0,0,0.2,0.254341736694678,0,0,0.333333333,0,0,0.666666667,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,1,0.351549838441701,509
"C1350",0.540912667191188,0.4,2,0,0.4,0.909243697478992,0,0.538461538,0.230769231,0,0,0.230769231,0,0,0,0,0,0.461538462,0,0,0.538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538462,0.538461538,0.164582496119267,0.194379605940453,2315
"C1350",0.540912667191188,0.4,2,0,0.4,0.909243697478992,0,0.538461538,0.230769231,0,0,0.230769231,0,0,0,0,0,0.461538462,0,0,0.538461538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.461538462,0.538461538,0.164582496119267,0.194379605940453,2315
