"code","tot_pop","region","num_empty","sub","bus","num_park","Mfee_deposit","Mfee_rent","type_new","prop_type_im1","prop_type_im2","prop_type_im3","prop_type_im4","prop_type_im5","prop_type_im6","prop_type_im7","prop_type_im8","prop_type_im9","prop_type_im10","prop_areaL21","prop_areaL29","prop_areaL36","prop_areaL39","prop_areaL46","prop_areaL59","prop_areaU59","prop_type_qual1","prop_type_qual2","prop_type_qual3","prop_type_qual4","prop_type_qual5","prop_type_qual6","prop_type_qual7","prop_type_qual8","prop_type_qual9","prop_type_qual10","prop_type_qual11","prop_type_qual12","prop_type_qual13","prop_type_qual14","target"
"C2515",545,3,17,0,3,624,18433000,149760,0,0,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0.285714286,0.285714286,0.285714286,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,205
"C1407",1216,7,13,1,1,1285,27637000,164610,0,0,0,0,0,0,1,0,0,0,0,0,0,0.272727273,0,0.545454545,0.181818182,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1064
"C1945",755,2,6,1,3,734,23139000,193230,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,730
"C1470",696,13,14,0,2,645,16821500,117145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.25,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,553
"C1898",566,13,9,0,6,517,16821500,117145,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.333333333,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,415
"C1244",1722,2,10,0,10,1483,43990000,304540,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.307692308,0.461538462,0.230769231,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1804
"C1171",624,7,13,0,5,634,35462000,189130,0,0,0,0,0,0,1,0,0,0,0,0,0,0.083333333,0.25,0.5,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,700
"C2073",361,1,13,0,5,288,16821000,205460,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.5,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,301
"C2513",754,5,15,0,6,530,32443000,192250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,820
"C1936",240,5,8,0,10,168,32443000,192250,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,234
"C2049",688,1,0,0,5,631,15407000,88400,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,841
"C2202",623,1,0,0,2,222,10244000,152280,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,226
"C1925",601,1,9,0,4,117,11321500,137655,1,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0.166666667,0.666666667,0,0,0,0.166666667,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,75
"C2576",405,3,19,0,4,296,23844000,198600,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,73
"C1312",518,15,12,0,3,527,18707000,126575,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,359
"C1874",619,15,2,0,2,97,18360500,141770,1,0,0,0,0,0,0,0.1,0.9,0,0,0.233333333,0.466666667,0.1,0,0.1,0.1,0,0,0,0.1,0.9,0,0,0,0,0,0,0,0,0,0,62
"C2650",875,8,13,0,4,616,14215000,141630,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,159
"C2416",560,3,0,0,5,154,16515500,126665,1,0,0,0,0,0,0,0.2,0.8,0,0,0.1,0.2,0.2,0.1,0.2,0.1,0.1,0,0,0.2,0.8,0,0,0,0,0,0,0,0,0,0,63
"C2013",595,3,3,0,3,509,13930000,37360,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,91
"C1424",625,7,2,0,7,517,20173000,225100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,179
"C2100",880,7,4,0,5,736,25096000,100365,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,671
"C2621",1396,7,26,1,4,277,12666500,155535,1,0,0,0,0,0,0,0.444444444,0.555555556,0,0,0,0.222222222,0.5,0,0,0.166666667,0.111111111,0,0,0.444444444,0.555555556,0,0,0,0,0,0,0,0,0,0,133
"C2520",970,7,2,0,2,420,13155000,177500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,386
"C2319",606,7,1,1,12,548,17414000,236590,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,266
"C1616",1507,7,1,0,2,407,16236000,152995,1,0,0,0,0,0,0,0.136363636,0.863636364,0,0,0,0.045454545,0.045454545,0.590909091,0.045454545,0.136363636,0.136363636,0,0,0.090909091,0.863636364,0.045454545,0,0,0,0,0,0,0,0,0,98
"C1704",639,7,34,0,7,162,17342000,164770,1,0,0,0,0,0,0,0.117647059,0.882352941,0,0,0,0,0.823529412,0.117647059,0,0,0.058823529,0,0,0.117647059,0.882352941,0,0,0,0,0,0,0,0,0,0,131
"C2258",965,7,13,0,3,287,25023000,149275,1,0,0,0,0,0,0,0.15,0.85,0,0,0.5,0.1,0.2,0.05,0.05,0.05,0.05,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,78
"C1032",946,7,6,1,2,986,28714000,187260,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.166666667,0.166666667,0.666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,316
"C2038",785,7,7,1,10,150,18771500,127060,1,0,0,0,0,0,0,0.15,0.85,0,0,0.5,0.1,0.2,0.05,0.05,0.05,0.05,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,108
"C1859",2178.8,7,1,1,4,487,21158500,135110,1,0,0,0,0,0,0,0.125,0.875,0,0,0,0.075,0.375,0.325,0,0.15,0.075,0,0,0.125,0.875,0,0,0,0,0,0,0,0,0,0,116
"C1722",809,1,1,0,6,264,13101000,220780,1,0,0,0.272727273,0,0,0,0.181818182,0.545454545,0,0,0,0.090909091,0.545454545,0.090909091,0.181818182,0,0.090909091,0.272727273,0,0.181818182,0.545454545,0,0,0,0,0,0,0,0,0,0,649
"C1850",388,3,0,0,4,226,14418000,244420,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,254
"C2190",1013,3,7,0,2,178,18581000,101110,1,0,0,0,0,0,0,0.19047619,0.80952381,0,0,0.476190476,0.285714286,0.095238095,0.047619048,0.095238095,0,0,0,0,0.19047619,0.80952381,0,0,0,0,0,0,0,0,0,0,129
"C1476",453,3,6,0,5,107,15979000,121010,1,0,0,0,0,0,0,0.25,0.75,0,0,0,0.125,0.75,0,0,0,0.125,0,0,0.25,0.75,0,0,0,0,0,0,0,0,0,0,70
"C1077",861,3,21,0,5,612,19973000,147300,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,236
"C1068",806,15,11,0,2,804,16853500,137320,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.5,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,510
"C1983",903,15,3,0,4,200,14830000,145290,1,0,0,0.2,0,0,0,0.133333333,0.666666667,0,0,0,0.066666667,0.733333333,0.066666667,0,0,0.133333333,0.2,0,0.133333333,0.666666667,0,0,0,0,0,0,0,0,0,0,253
"C2135",1116,8,10,1,3,262,17514500,141720,1,0,0,0,0,0,0,0.15,0.85,0,0,0.5,0.2,0.15,0.05,0,0.05,0.05,0,0,0.15,0.85,0,0,0,0,0,0,0,0,0,0,127
"C2034",1486,8,2,1,3,405,18792000,145740,1,0,0,0,0,0,0,0.103448276,0.896551724,0,0,0.344827586,0.137931034,0.379310345,0.034482759,0,0.034482759,0.068965517,0,0,0.103448276,0.896551724,0,0,0,0,0,0,0,0,0,0,132
"C1109",1957,8,1,1,2,351,15580000,143375,1,0,0,0,0,0,0,0.090909091,0.909090909,0,0,0.363636364,0.227272727,0.272727273,0.045454545,0,0.045454545,0.045454545,0,0,0.090909091,0.909090909,0,0,0,0,0,0,0,0,0,0,313
"C1497",802,8,7,1,14,375,13253500,168575,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,382
"C2289",1527,8,2,0,3,240,18865500,144915,1,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0.083333333,0.083333333,0.541666667,0,0.208333333,0.083333333,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,364
"C2597",1005,8,25,0,2,166,16811000,149870,1,0,0,0,0,0,0,0.09375,0.90625,0,0,0.25,0.53125,0.03125,0,0.0625,0.09375,0.03125,0,0,0.09375,0.90625,0,0,0,0,0,0,0,0,0,0,94
"C2310",1988,8,1,0,2,217,17851000,132430,1,0,0,0,0,0,0,0.130434783,0.869565217,0,0,0,0.086956522,0.043478261,0.565217391,0,0.217391304,0.086956522,0,0,0.130434783,0.869565217,0,0,0,0,0,0,0,0,0,0,189
"C1672",1350,8,15,0,1,1043,18717500,229825,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,873
"C2132",2178.8,8,1,0,1,756,19975000,124720,1,0,0,0,0,0,0,0.085106383,0.914893617,0,0,0.234042553,0.127659574,0.170212766,0.276595745,0.021276596,0.106382979,0.063829787,0,0,0.021276596,0.914893617,0,0.063829787,0,0,0,0,0,0,0,0,359
"C1439",1755,8,29,1,3,270,17362500,141325,1,0,0,0,0,0,0,0.0625,0.9375,0,0,0.458333333,0.166666667,0.25,0,0.0625,0,0.0625,0,0,0.0625,0.9375,0,0,0,0,0,0,0,0,0,0,172
"C1613",840,8,7,1,1,594,20345000,257630,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,498
"C2216",390,15,2,0,1,97,9447000,132910,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149
"C1899",451,3,0,0,4,109,16851500,107855,1,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0,0,0,0,0,0,0,31
"C1056",410,14,0,0,10,120,23013500,151535,1,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0.083333333,0.916666667,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,125
"C2644",779,15,7,1,12,190,11879000,161250,1,0,0,0.285714286,0,0,0,0.285714286,0.428571429,0,0,0,0.285714286,0,0.285714286,0.428571429,0,0,0.285714286,0,0.285714286,0.428571429,0,0,0,0,0,0,0,0,0,0,177
"C1206",755,1,1,0,4,88,22419000,147030,1,0,0,0,0,0,0,0.166666667,0.833333333,0,0,0,0.083333333,0.75,0,0,0,0.166666667,0,0,0.166666667,0.833333333,0,0,0,0,0,0,0,0,0,0,90
"C2481",693,11,2,0,2,486,13221000,101390,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,302
"C1718",753,11,23,0,2,682,27465500,218475,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,496
"C1655",498,1,23,0,6,402,19973000,132320,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.25,0.5,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,236
"C1430",1533,8,32,0,3,1296,31835000,185990,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,839
"C1775",711,14,5,0,8,131,15729000,115180,1,0,0,0,0,0,0,0.117647059,0.882352941,0,0,0,0.058823529,0.882352941,0,0,0,0.058823529,0,0,0.117647059,0.882352941,0,0,0,0,0,0,0,0,0,0,96
"C1519",420,14,0,0,0,393,15472000,94375,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,235
"C2221",590,14,1,0,3,376,15406500,246675,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,359
"C1790",657,3,2,0,4,166,20802000,172280,1,0,0,0,0,0,0,0.090909091,0.909090909,0,0,0.303030303,0.515151515,0.060606061,0,0.03030303,0.03030303,0.060606061,0,0,0.090909091,0.909090909,0,0,0,0,0,0,0,0,0,0,120
"C2109",495,3,2,0,4,117,19893000,110550,1,0,0,0,0,0,0,0.117647059,0.882352941,0,0,0,0.058823529,0.882352941,0,0,0,0.058823529,0,0,0.117647059,0.882352941,0,0,0,0,0,0,0,0,0,0,60
"C1698",460,3,1,0,3,155,12905500,162030,1,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0.5,0.5,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,65
"C1866",338,3,1,0,3,235,11421000,102215,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,135
"C1005",1144,15,16,0,8,950,16348000,210900,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,376
"C1004",521,15,3,0,2,153,16507000,132430,1,0,0,0,0,0,0,0.105263158,0.894736842,0,0,0.526315789,0.052631579,0.157894737,0.157894737,0,0.052631579,0.052631579,0,0,0.105263158,0.894736842,0,0,0,0,0,0,0,0,0,0,93
"C1875",1003,15,5,0,8,192,17497500,137625,1,0,0,0,0,0,0,0.136363636,0.863636364,0,0,0.545454545,0.181818182,0.136363636,0.045454545,0,0.045454545,0.045454545,0,0,0.136363636,0.863636364,0,0,0,0,0,0,0,0,0,0,209
"C2156",306,15,0,0,1,246,11147000,90410,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,204
"C2212",697,1,0,0,4,128,15026000,140995,1,0,0,0,0,0,0,0.214285714,0.785714286,0,0,0,0.071428571,0.571428571,0,0,0,0.357142857,0,0,0.214285714,0.785714286,0,0,0,0,0,0,0,0,0,0,86
"C2401",213,1,21,0,3,164,25964000,72660,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0,0,0,0,19
"C2571",481,3,5,0,1,65,20387500,139330,1,0,0,0,0,0,0,0.071428571,0.928571429,0,0,0,0.071428571,0.857142857,0,0,0,0.071428571,0,0,0.071428571,0.928571429,0,0,0,0,0,0,0,0,0,0,62
"C1175",468,15,15,1,2,477,26258000,160100,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.333333333,0.666666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,430
"C1833",1364,14,19,0,5,1505,15620000,123750,0,0,0,0,0,0,1,0,0,0,0,0,0,0.285714286,0.285714286,0.285714286,0.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1001
"C2445",800,16,16,0,4,671,15620000,141770,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,334
"C1885",830,12,14,0,4,802,14418000,100920,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.625,0.375,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,616
"C2368",775,12,10,0,4,738,14418000,100920,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.875,0,0.125,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,548
"C2016",261,16,15,0,2,198,12234000,103875,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5,0.5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,220
"C2371",474,4,20,0,1,374,17302000,108130,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.375,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,451
"C2536",72,13,7,0,1,54,9074000,50400,0,0,0,0,0,0,1,0,0,0,0,0,0,0.666666667,0,0.333333333,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"C2538",1473,2,13,0,3,1299,39668000,311110,0,0,0,0,0,0,1,0,0,0,0,0,0.052631579,0.210526316,0.157894737,0.210526316,0.368421053,0,0.473684211,0,0,0,0,0,0.421052632,0.105263158,0,0,0,0,0,0,799
"C1014",996,13,5,0,2,823,21628000,150190,0,0,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0,0.428571429,0.428571429,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,708
"C1592",870,1,13,0,5,763,12387000,172190,0,0,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0.428571429,0.285714286,0.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,739
"C1867",678,3,26,0,2,579,9972000,100920,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.666666667,0.166666667,0.166666667,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,374
"C2326",632,16,15,0,4,478,13216000,114140,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.8,0.2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,557
"C1015",961,8,28,0,3,928,15583000,140810,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.375,0.375,0.25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,579
"C1620",1232,5,22,0,4,1181,25233000,141770,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1101
"C1049",676,5,18,0,3,658,31242000,175410,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.4,0,0.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,762
"C2000",1300,3,21,0,2,1082,19225000,169420,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.428571429,0.428571429,0.142857143,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,795
"C2097",998,4,29,0,2,1240,16737000,110790,0,0,0,0,0,0,1,0,0,0,0,0,0,0.142857143,0.428571429,0.285714286,0.142857143,0,0.714285714,0,0,0,0.285714286,0,0,0,0,0,0,0,0,0,995
